="",="(1)",="",="(2)",="",="(3)",=""
="",="",="",="",="",="",=""
="1.comp",="-0.022",="(0.012)",="-0.005",="(0.003)",="0.027",="(0.011)"
="substimeduc_log",="-0.038",="(0.009)",="-0.000",="(0.003)",="0.038",="(0.008)"
="real_incentives_log",="-0.005",="(0.002)",="-0.000",="(0.001)",="0.006",="(0.001)"
="RVoteshare",="-0.000",="(0.001)",="0.000",="(0.000)",="0.000",="(0.000)"
="unemp08",="-0.009",="(0.003)",="0.006",="(0.002)",="0.003",="(0.002)"
="labforce",="-0.003",="(0.041)",="0.003",="(0.004)",="0.001",="(0.040)"
="cdR",="-0.007",="(0.010)",="-0.010",="(0.006)",="0.017",="(0.008)"
="logpatentcount",="-0.004",="(0.001)",="0.003",="(0.001)",="0.001",="(0.001)"
="logmacount",="-0.001",="(0.001)",="0.000",="(0.000)",="0.001",="(0.001)"
="lagged_gfield",="-0.044",="(0.028)",="0.111",="(0.036)",="-0.067",="(0.026)"
="logtotaldom",="0.001",="(0.001)",="0.000",="(0.000)",="-0.001",="(0.001)"
="Standard errors in parentheses"
